,,,,,Rad,Temp,RH,Wind
YY,MM,DD,HH,MIN,J/m^2/s,Deg,%,m/s
2016,8,2,8,0,27.5,14.1,80,2
2016,8,2,9,0,60.833333333333336,16.300000000000001,67,2.5
2016,8,2,10,0,93.333333333333329,17.600000000000001,64,2.7999999999999998
2016,8,2,11,0,72.5,17.899999999999999,62,2.7000000000000002
2016,8,2,12,0,31.944444444444443,17,65,2.8999999999999999
2016,8,2,13,0,57.222222222222221,17,69,2.8999999999999999
2016,8,2,14,0,55,16.699999999999999,74,3.2000000000000002
2016,8,2,15,0,45,16.5,78,3.1000000000000001
2016,8,2,16,0,6.3888888888888893,14.300000000000001,91,2.2999999999999998
2016,8,2,17,0,5.833333333333333,13.9,97,2.7999999999999998
2016,8,2,18,0,3.6111111111111112,14,96,2.7999999999999998
2016,8,2,19,0,0,14,94,3.2999999999999998
2016,8,2,20,0,0,13.699999999999999,96,5.2000000000000002
2016,8,2,21,0,0,13.800000000000001,96,6.2000000000000002
2016,8,2,22,0,0,14.199999999999999,92,4.9000000000000004
2016,8,2,23,0,0,14.6,88,5.2000000000000002
2016,8,3,0,0,0,13.9,93,6
2016,8,3,1,0,0,13.4,93,6.2000000000000002
2016,8,3,2,0,0,13.9,91,5.5999999999999996
2016,8,3,3,0,0,14.1,91,3.6000000000000001
2016,8,3,4,0,0,14,91,4
2016,8,3,5,0,4.166666666666667,14.300000000000001,92,3.6000000000000001
2016,8,3,6,0,32.222222222222221,14.5,91,3.6000000000000001
2016,8,3,7,0,41.666666666666664,15.5,89,3.6000000000000001
2016,8,3,8,0,90.555555555555557,17,80,3.6000000000000001
2016,8,3,9,0,46.944444444444443,17.300000000000001,77,3.8999999999999999
2016,8,3,10,0,70.833333333333329,18.399999999999999,76,3.7000000000000002
2016,8,3,11,0,61.388888888888886,19.199999999999999,72,2.7000000000000002
2016,8,3,12,0,67.777777777777771,19.600000000000001,68,2.2999999999999998
2016,8,3,13,0,94.444444444444443,20.399999999999999,63,2.5
2016,8,3,14,0,141.66666666666666,22,57,2.6000000000000001
2016,8,3,15,0,117.22222222222223,22.100000000000001,53,2.8999999999999999
2016,8,3,16,0,63.055555555555557,21.699999999999999,54,2.7999999999999998
2016,8,3,17,0,18.055555555555557,22,54,2.8999999999999999
2016,8,3,18,0,24.722222222222221,21.399999999999999,56,3.5
2016,8,3,19,0,0,19.199999999999999,65,4.0999999999999996
2016,8,3,20,0,0,18,63,3.7999999999999998
2016,8,3,21,0,0,17.100000000000001,66,3.6000000000000001
2016,8,3,22,0,0,17.5,69,4.2000000000000002
2016,8,3,23,0,0,17.199999999999999,71,4.0999999999999996
2016,8,4,0,0,0,16.600000000000001,71,4.5
2016,8,4,1,0,0,17.100000000000001,69,4.2999999999999998
2016,8,4,2,0,0,17.199999999999999,66,4.5
2016,8,4,3,0,0,16.699999999999999,66,3.5
2016,8,4,4,0,0,16.699999999999999,65,2.2999999999999998
2016,8,4,5,0,9.4444444444444446,15.6,73,1.8999999999999999
2016,8,4,6,0,41.666666666666664,17.800000000000001,63,2.2000000000000002
2016,8,4,7,0,30.277777777777779,19.199999999999999,59,2.3999999999999999
2016,8,4,8,0,86.666666666666671,19.899999999999999,58,2.7999999999999998
2016,8,4,9,0,87.5,21.600000000000001,53,3.5
2016,8,4,10,0,81.111111111111114,22.199999999999999,51,4.2000000000000002
2016,8,4,11,0,112.77777777777777,22.899999999999999,49,3.5
2016,8,4,12,0,101.94444444444444,23.199999999999999,49,4.2000000000000002
2016,8,4,13,0,49.444444444444443,22.800000000000001,54,4.5
2016,8,4,14,0,13.055555555555555,20,65,3.6000000000000001
2016,8,4,15,0,6.666666666666667,17.699999999999999,80,2.2999999999999998
2016,8,4,16,0,3.0555555555555554,15.5,94,2.3999999999999999
2016,8,4,17,0,3.0555555555555554,13.699999999999999,96,3.1000000000000001
2016,8,4,18,0,0,13.699999999999999,98,2.7000000000000002
2016,8,4,19,0,0,13.1,97,3.3999999999999999
2016,8,4,20,0,0,12.800000000000001,97,3.2999999999999998
2016,8,4,21,0,0,12.800000000000001,97,4.0999999999999996
2016,8,4,22,0,0,12.699999999999999,99,2.8999999999999999
2016,8,4,23,0,0,12.5,98,2.8999999999999999
2016,8,5,0,0,0,12,97,4.2000000000000002
2016,8,5,1,0,0,11.800000000000001,89,3.8999999999999999
2016,8,5,2,0,0,11.4,95,3.6000000000000001
2016,8,5,3,0,0,11.6,93,5.0999999999999996
2016,8,5,4,0,0,11.199999999999999,94,3.5
2016,8,5,5,0,5.833333333333333,11.1,92,3.5
2016,8,5,6,0,10.555555555555555,11.5,94,3.1000000000000001
2016,8,5,7,0,18.888888888888889,11.800000000000001,94,0.90000000000000002
2016,8,5,8,0,36.666666666666664,12.300000000000001,92,1.2
2016,8,5,9,0,58.055555555555557,13.300000000000001,87,3
2016,8,5,10,0,35.555555555555557,13.699999999999999,85,3.7000000000000002
2016,8,5,11,0,108.88888888888889,14,88,3.2999999999999998
2016,8,5,12,0,83.888888888888886,14.300000000000001,86,4.5
2016,8,5,13,0,64.722222222222229,15.1,82,5.7000000000000002
2016,8,5,14,0,30,12.199999999999999,91,5.0999999999999996
2016,8,5,15,0,62.222222222222221,14.699999999999999,89,7.2000000000000002
2016,8,5,16,0,36.111111111111114,15.9,76,6
2016,8,5,17,0,55,15.5,76,5.0999999999999996
2016,8,5,18,0,12.5,14.300000000000001,84,4.5
2016,8,5,19,0,0,13,91,3.8999999999999999
2016,8,5,20,0,0,12.199999999999999,94,3.7000000000000002
2016,8,5,21,0,0,11.5,95,3.2999999999999998
2016,8,5,22,0,0,11.5,93,4.7999999999999998
2016,8,5,23,0,0,10.9,94,4.5
2016,8,6,0,0,0,11.5,91,5.5999999999999996
2016,8,6,1,0,0,10.9,94,4.7000000000000002
2016,8,6,2,0,0,9.9000000000000004,97,5.2000000000000002
2016,8,6,3,0,0,9.8000000000000007,97,4.2000000000000002
2016,8,6,4,0,0,9.6999999999999993,95,4.0999999999999996
2016,8,6,5,0,13.055555555555555,10,95,3.6000000000000001
2016,8,6,6,0,41.388888888888886,12.699999999999999,85,4.7000000000000002
2016,8,6,7,0,71.388888888888886,14.6,78,3.3999999999999999
2016,8,6,8,0,86.944444444444443,15.699999999999999,76,2.7000000000000002
2016,8,6,9,0,50.277777777777779,16.199999999999999,71,3.6000000000000001
2016,8,6,10,0,126.66666666666667,17,66,3.5
2016,8,6,11,0,107.22222222222223,17.800000000000001,64,3.5
2016,8,6,12,0,119.44444444444444,19,60,3.5
2016,8,6,13,0,123.33333333333333,18.399999999999999,53,4
2016,8,6,14,0,46.111111111111114,18.699999999999999,58,4
2016,8,6,15,0,93.611111111111114,17.300000000000001,64,4.5999999999999996
2016,8,6,16,0,71.944444444444443,17.899999999999999,56,4.4000000000000004
2016,8,6,17,0,35.277777777777779,17.399999999999999,62,4.0999999999999996
2016,8,6,18,0,17.5,16.899999999999999,70,2.2000000000000002
2016,8,6,19,0,0.27777777777777779,15,77,2.7000000000000002
2016,8,6,20,0,0,13.199999999999999,87,1.6000000000000001
2016,8,6,21,0,0,11.4,94,2.2000000000000002
2016,8,6,22,0,0,11.800000000000001,89,1.1000000000000001
2016,8,6,23,0,0,11.6,89,0.80000000000000004
2016,8,7,0,0,0,11,92,1
